業者編號,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
0805,7747,6880,8272,6634,7027,7214,6144,4994,2036,1483,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0816,41945,34656,46428,42101,44981,38152,30935,33898,48014,44873,53887,54449,39318,39013,50602,47486,47453,42795,30171,30831,45189,50646,0,52425,43805,29910,47954,46627,43654,42387
1201,22521,19598,23383,14977,16095,16836,16447,18230,24063,23267,28601,26781,20937,20240,25997,26437,25932,23958,22147,22613,25368,25574,22279,25344,22186,18356,27596,27441,26735,22880
1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6017,5450,5703
1602,27308,24315,28329,26925,27442,29792,28235,36555,36481,30664,34707,36366,30287,28327,34388,34508,34171,33452,29657,31609,31833,35765,34284,34958,25701,25846,32670,33743,32717,30989
