西元年月,1,2
2024-06,12309,0
2024-07,0,11518
2024-08,14745,0
2024-09,14433,0
2024-10,13452,0
2024-11,16157,0
2024-12,13757,0
2025-01,10936,0
2025-02,0,10139
2025-03,12206,0
2025-04,14381,0
2025-05,14840,0
2025-06,15133,0
2025-07,12897,0
2025-08,14386,0
2025-09,12918,8
2025-10,15773,9
2025-11,11433,0
2025-12,13272,0
2026-01,11423,0
2026-02,10483,0
2026-03,12073,0
2026-04,12648,0
2026-05,16134,0
2026-06,13533,0
