資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
臺東公路,114/11,去重,10433,29.3,35607,9059,22702,30,0.131,1.57,3574,3486,1999,39.5,22.1,187,410,635,15.2,51.5
臺東公路,114/11,原,10433,29.3,35607,9059,22702,30,0.131,1.57,3574,3486,1999,39.5,22.1,187,410,635,15.2,51.5
臺東公路,114/12,去重,34679,39.09,88727,17059,55771,31,0.168,1.59,5882,6845,4332,34.5,25.4,186,485,1615,8.1,70.6
臺東公路,114/12,原,34679,39.09,88727,17059,55771,31,0.168,1.59,5882,6845,4332,34.5,25.4,186,485,1615,8.1,70.6
臺東公路,115/01,去重,26380,37.41,70523,15500,44406,31,0.147,1.59,5510,6426,3564,35.5,23,215,569,1389,9.9,63.9
臺東公路,115/01,原,26380,37.41,70523,15500,44406,31,0.147,1.59,5510,6426,3564,35.5,23,215,569,1389,9.9,63.9
臺東公路,115/02,去重,14853,26.21,56672,16493,36146,28,0.123,1.57,6445,6976,3072,39.1,18.6,222,694,1097,11,54.5
臺東公路,115/02,原,14853,26.21,56672,16493,36146,28,0.123,1.57,6445,6976,3072,39.1,18.6,222,694,1097,11,54.5
臺東公路,115/03,去重,33122,40.54,81699,15778,51577,31,0.167,1.58,5464,6278,4036,34.6,25.6,160,509,1521,7.3,69.5
臺東公路,115/03,原,33122,40.54,81699,15778,51577,31,0.167,1.58,5464,6278,4036,34.6,25.6,160,509,1521,7.3,69.5
臺東公路,115/04,去重,32328,39.56,81709,17041,51950,30,0.16,1.57,6343,6711,3987,37.2,23.4,189,508,1573,8.3,69.3
臺東公路,115/04,原,32328,39.56,81709,17041,51950,30,0.16,1.57,6343,6711,3987,37.2,23.4,189,508,1573,8.3,69.3
臺東公路,115/05,去重,31400,40.45,77631,16173,49070,31,0.155,1.58,5883,6443,3847,36.4,23.8,217,582,1557,9.2,66.1
臺東公路,115/05,原,31400,40.45,77631,16173,49070,31,0.155,1.58,5883,6443,3847,36.4,23.8,217,582,1557,9.2,66.1
臺東公路,115/06,去重,29728,39.89,74525,15332,47214,30,0.162,1.58,5543,6030,3759,36.2,24.5,196,573,1565,8.4,67.1
臺東公路,115/06,原,29728,39.89,74525,15332,47214,30,0.162,1.58,5543,6030,3759,36.2,24.5,196,573,1565,8.4,67.1
