資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
花蓮市區,115/03,去重,10699,37.1,28837,18803,18803,31,0.049,1.53,10454,8293,56,55.6,0.3,2749,3683,6,42.7,0.1
花蓮市區,115/03,原,10699,37.1,28837,18803,18803,31,0.049,1.53,10454,8293,56,55.6,0.3,2749,3683,6,42.7,0.1
花蓮市區,115/04,去重,3212,22.71,14146,10273,10273,30,0.046,1.38,7049,3188,36,68.6,0.4,1373,861,2,61.4,0.1
花蓮市區,115/04,原,3212,22.71,14146,10273,10273,30,0.046,1.38,7049,3188,36,68.6,0.4,1373,861,2,61.4,0.1
花蓮市區,115/05,去重,1389,16.58,8380,6500,6500,31,0.042,1.29,4931,1536,33,75.9,0.5,880,237,2,78.6,0.2
花蓮市區,115/05,原,1389,16.58,8380,6500,6500,31,0.042,1.29,4931,1536,33,75.9,0.5,880,237,2,78.6,0.2
花蓮市區,115/06,去重,1307,18.7,6991,5509,5509,30,0.042,1.27,4254,1239,16,77.2,0.3,813,220,3,78.5,0.3
花蓮市區,115/06,原,1307,18.7,6991,5509,5509,30,0.042,1.27,4254,1239,16,77.2,0.3,813,220,3,78.5,0.3
臺東市區,113/06,去重,1549,12.59,12307,6509,10171,30,0.063,1.21,3827,2422,260,58.8,4,77,52,86,35.8,40
臺東市區,113/06,原,1549,12.58,12309,6509,10171,30,0.063,1.21,3826,2423,260,58.8,4,77,52,86,35.8,40
臺東市區,113/07,去重,852,7.4,11517,6452,9423,31,0.058,1.22,3894,2355,203,60.4,3.1,54,59,47,33.8,29.4
臺東市區,113/07,原,852,7.4,11518,6452,9423,31,0.058,1.22,3893,2356,203,60.3,3.1,54,59,47,33.8,29.4
臺東市區,113/08,去重,987,6.69,14744,8347,12051,31,0.057,1.22,5025,3036,286,60.2,3.4,96,84,49,41.9,21.4
臺東市區,113/08,原,988,6.7,14745,8347,12051,31,0.057,1.22,5025,3035,287,60.2,3.4,96,83,50,41.9,21.8
臺東市區,113/09,去重,2266,15.7,14431,7053,11694,30,0.068,1.23,3900,2809,344,55.3,4.9,82,89,133,27,43.8
臺東市區,113/09,原,2266,15.7,14433,7053,11694,30,0.068,1.23,3900,2808,345,55.3,4.9,82,89,133,27,43.8
臺東市區,113/10,去重,2082,15.48,13452,6570,10625,31,0.066,1.27,3631,2580,359,55.3,5.5,100,75,127,33.1,42.1
臺東市區,113/10,原,2082,15.48,13452,6570,10625,31,0.066,1.27,3631,2580,359,55.3,5.5,100,75,127,33.1,42.1
臺東市區,113/11,去重,2343,14.5,16156,7598,12422,30,0.071,1.3,3888,3250,460,51.2,6.1,89,102,138,27.1,41.9
臺東市區,113/11,原,2343,14.5,16157,7598,12422,30,0.071,1.3,3888,3250,460,51.2,6.1,89,102,138,27.1,41.9
臺東市區,113/12,去重,2891,21.02,13756,6019,10691,31,0.074,1.29,3278,2358,383,54.5,6.4,87,84,138,28.2,44.7
