資料,卡號,票種次類型,路線,上車站,上車時間,下車站,下車時間,旗標,重複列
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-17 07:00:00,拖吊場,2025-09-17 07:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-17 07:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-17 17:00:00,台東火車站,2025-09-17 17:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-17 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-18 07:00:00,拖吊場,2025-09-18 07:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-18 07:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-18 17:00:00,台東火車站,2025-09-18 17:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-18 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-19 07:00:00,拖吊場,2025-09-19 07:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-19 07:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-19 17:00:00,台東火車站,2025-09-19 17:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,陸海空線,台東火車站,2025-09-19 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-21 07:00:00,聖母醫院,2025-09-21 07:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-21 07:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,市區循環,台東火車站,2025-09-21 16:00:00,台東火車站,2025-09-21 16:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,市區循環,台東火車站,2025-09-21 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-22 07:00:00,拖吊場,2025-09-22 07:00:00,0,FALSE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-22 07:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,e683bc04,#TTT-299,市區循環,拖吊場,2025-09-24 07:00:00,拖吊場,2025-09-24 07:00:00,0,FALSE
