資料集,業者編號,西元年月,民國月份,列數,值1,值2,值4,值8,值16,其他值,其他值清單,平均值,非1占比%,值2占比%,≥4占比%,型態
花蓮市區,1201,2024-11,113/11,5720,5720,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2024-12,113/12,6856,6856,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-01,114/01,4430,4430,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-02,114/02,4490,4490,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-03,114/03,5475,5475,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-04,114/04,5692,5692,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-05,114/05,5802,5802,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-06,114/06,5788,5788,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-07,114/07,5432,5432,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-08,114/08,5613,5613,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-09,114/09,6308,6308,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-10,114/10,6727,6727,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-11,114/11,8012,8012,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2025-12,114/12,9533,9533,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2026-01,115/01,8682,8682,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2026-02,115/02,7837,7837,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2026-03,115/03,9073,9073,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2026-04,115/04,9037,7073,0,1964,0,0,0,"",1.652,21.7,0,21.7,含2的次方≥4
花蓮市區,1201,2026-05,115/05,8188,8188,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1201,2026-06,115/06,6887,6887,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1407,2024-06,113/06,30,30,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1407,2024-11,113/11,18,18,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1407,2025-02,114/02,30,30,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1407,2025-03,114/03,14,14,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1407,2025-04,114/04,15,15,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-06,113/06,2415,2415,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-07,113/07,1466,1466,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-08,113/08,3527,3527,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-09,113/09,4649,4649,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-10,113/10,3535,3535,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-11,113/11,3272,3272,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2024-12,113/12,4487,4487,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-01,114/01,1393,1393,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-02,114/02,1365,1365,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-03,114/03,1366,1366,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-04,114/04,1402,1402,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-06,114/06,1629,1629,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-07,114/07,1279,1279,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-08,114/08,1498,1498,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-09,114/09,1557,1557,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-10,114/10,1467,1467,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-11,114/11,633,633,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2025-12,114/12,453,453,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2026-01,115/01,255,255,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2026-02,115/02,148,148,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2026-03,115/03,136,136,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2026-04,115/04,100,100,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2026-05,115/05,192,192,0,0,0,0,0,"",1,0,0,0,全為1
花蓮市區,1602,2026-06,115/06,104,104,0,0,0,0,0,"",1,0,0,0,全為1
