檔案,分頁,月份,欄位,舊值,新值,差異,差異%
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/07,二至四次_人數,84,59,-25,-29.76
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/08,二至四次_人數,83,84,1,1.2
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/02,二至四次_人數,131,102,-29,-22.14
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/09,二至四次_人數,171,140,-31,-18.13
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/10,二至四次_人數,177,150,-27,-15.25
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/07,二至四次_比例,52.5,36.9,-15.6,-29.71
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/08,二至四次_比例,36.2,36.7,0.5,1.38
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/02,二至四次_比例,43.8,34.1,-9.7,-22.15
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/09,二至四次_比例,45.6,37.3,-8.3,-18.2
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/10,二至四次_比例,43.9,37.2,-6.7,-15.26
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/07,五次以上_人數,76,47,-29,-38.16
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/08,五次以上_人數,50,49,-1,-2
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/02,五次以上_人數,168,115,-53,-31.55
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/09,五次以上_人數,164,133,-31,-18.9
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/10,五次以上_人數,183,146,-37,-20.22
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/07,五次以上_比例,47.5,29.4,-18.1,-38.11
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,113/08,五次以上_比例,21.8,21.4,-0.400000000000002,-1.83
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/02,五次以上_比例,56.2,38.5,-17.7,-31.49
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/09,五次以上_比例,43.7,35.5,-8.2,-18.76
平均每日使用次數及其族群分布.xlsx,TPASS_臺東市區,114/10,五次以上_比例,45.4,36.2,-9.2,-20.26
