上車站牌名稱,下車站牌名稱,上車碼,下車碼,票證數,上車選中站序,下車選中站序,上車累積里程_公里,下車累積里程_公里,差_公里,取abs後_公里,資料集,附屬路線,方向
台東火車站,小野柳,293959,293970,5231,10,3,230.45,117.13,-113.32,113.32,臺東公路,8101A,0
台東轉運站,小野柳,300031,293970,5297,1,3,0,117.13,117.13,117.13,臺東公路,8101A,0
台東轉運站,小野柳,300030,293970,5181,11,3,236.78,117.13,-119.65,119.65,臺東公路,8101A,0
成功漁港,三仙台遊憩區,306025,294000,7643,6,8,166.28,171.58,5.3,5.3,臺東公路,8101A,0
阿美族民俗中心,成功漁港,293998,306025,8397,5,6,153,166.28,13.29,13.29,臺東公路,8101A,0
奚卜蘭遊客中心,石梯坪,304985,304984,3864,5,6,49.37,53.49,4.12,4.12,花蓮市區,309,0
玉里火車站,奚卜蘭遊客中心,304981,304985,7514,1,5,0,49.37,49.37,49.37,花蓮市區,309,0
石梯坪,北回歸線,304984,304982,3982,6,7,53.49,59.48,5.99,5.99,花蓮市區,309,0
金剛好事館,玉里火車站,304987,304981,6523,9,1,77.42,0,-77.42,77.42,花蓮市區,309,0
