上車站牌名稱,下車站牌名稱,票證數,上序,下序,現行_公里,鏡像_公里
中華路,北東興,67,5,52,42.1,45.8
三仙台遊憩區,成功,67,125,126,0.8,3.94
花蓮轉運站,新莊,66,1,51,49.01,47.93
花蓮轉運站,月洞,65,1,71,68.84,67.89
明禮國小,海洋公園,65,4,23,19.44,12.17
中華路,成功,64,5,126,111.44,116.76
百齡,豐濱監工站,63,50,59,6.42,4.21
花蓮轉運站,嶺頂,63,1,21,24.76,12.09
中華路,蕃薯寮休息區,63,5,36,32.33,29.19
花蓮轉運站,三富橋,62,1,81,75.6,73.02
花蓮文創園區(中正),海岸南海十一街口,62,6,17,12.33,4.86
中華路,南福德,61,5,25,20.79,14.06
豐濱,靜浦國小,61,60,77,15.71,18.27
花蓮轉運站,南竹湖,61,1,103,103.79,90.82
港口,長濱,60,72,95,22.1,17.58
帝君廟,豐濱,57,2,60,52.01,51.68
花蓮轉運站,長濱鄉衛生所,57,1,102,102.7,90.65
中華路,大港口,56,5,74,62.64,66.57
中華路,獅子山,56,5,73,62.07,66.18
靜浦,長光,55,79,94,17.33,13.77
花蓮轉運站,磯崎,55,1,40,43.57,37.22
北回歸線,三仙台遊憩區,55,80,118,40.06,34.43
中華路,新社國小,55,5,49,40.28,44.16
豐濱,長濱,55,64,100,36.75,35.55
南埔加油站,豐濱,54,11,60,40.04,47.79
吉安分局,海岸南海四街口,54,10,15,5.73,1.84
帝君廟,中華路,54,2,5,3.77,1.59
花蓮轉運站,田組,53,1,98,97.63,88.21
花蓮轉運站,石梯灣,53,1,66,65.99,59.16
花蓮文創園區(中正),豐濱,53,6,60,47.43,49.6
花蓮轉運站,千禧山莊,52,1,82,76.47,73.33
港口,靜浦,52,72,79,4.44,3.55
長濱,膽墁,52,100,115,12.63,11.93
豐濱,成功,52,64,126,54.43,64.38
中華路,仁里橋,51,5,9,4.68,1.67
市民廣場,海洋公園,51,3,23,22.13,12.6
花蓮轉運站,牛山,50,1,35,38.11,28.96
吉安分局,豐濱監工站,50,10,59,40.36,47.32
新社國小,豐濱,50,49,60,7.97,5.92
新社國小,豐濱監工站,49,49,59,6.84,5.15
中華路,海岸南海八街口,49,5,16,12.67,4.65
中華路,新社,48,5,48,39.71,43.3
長光,北烏石鼻,48,94,108,17.71,10.2
花蓮轉運站,南東興,47,1,53,50.19,48.81
南石梯坪,港口,45,74,76,0.88,1.18
北回歸線,長濱分駐所,44,80,96,20.88,14.64
花蓮轉運站,磯崎道班房,43,1,41,43.82,40.43
長濱分駐所,北烏石鼻,42,96,108,12.58,8.73
南埔加油站,蕃薯寮休息區,42,11,36,24.13,26.9
海岸南海十一街口,成功,42,17,126,98.31,111.41
石梯漁港,成功,42,71,126,50.32,51.27
南埔加油站,豐濱監工站,41,11,59,38.91,47.02
北回歸線,成功,41,85,126,41.23,44.61
仁里橋,豐濱,40,9,60,43.56,48.42
長濱分駐所,三仙台遊憩區,39,96,118,19.18,19.79
豐濱,靜浦教會,39,60,78,16.65,18.7
花蓮轉運站,蕃薯寮休息區,39,1,36,40.04,31.58
吉安分局,海洋公園,38,10,23,12.42,9.47
仁里橋,海洋公園,38,9,23,14.49,9.79
中華路,三仙台遊憩區,38,5,118,107.39,104.37
花蓮文創園區(中正),蕃薯寮休息區,38,6,36,31.52,28.7
豐濱,港口,38,60,72,13.07,15.71
長濱,北烏石鼻,37,95,108,17.37,9.94
花蓮轉運站,寧埔社區,36,1,107,108.02,94.98
花蓮轉運站,百齡,36,1,50,48.41,47.49
花蓮轉運站,竹湖,36,1,102,102.7,90.65
海岸南海二街口,新社,36,14,48,28.05,39.84
花蓮轉運站,七七高地,36,1,20,24.18,11.14
長濱鄉公所,成功,36,103,126,15.36,28.33
大石鼻山步道,豐濱,35,43,60,10.65,10.89
豐濱,大港口,35,60,74,14.39,16.49
豐濱,獅子山,35,60,73,13.83,16.09
石梯坪遊憩區,三仙台遊憩區,35,68,118,47.64,42.44
中華路,靜埔B,34,5,82,68.77,70.94
石梯坪遊憩區,成功,34,72,126,50.13,50.97
南石梯坪,長濱,34,74,100,31.13,21.37
月洞,獅子山,33,71,73,0.94,0.68
靜浦,長濱分駐所,33,79,96,22.45,15.24
仁里橋,靜浦,33,9,79,61.07,67.68
中華路,海岸南海四街口,33,5,15,12.49,3.83
百齡,豐濱,33,50,60,7.55,4.98
豐濱監工站,靜浦,33,59,79,18.63,20.04
南埔加油站,海洋公園,33,11,23,10.97,9.17
花蓮大橋,牛寮坑,33,19,38,17.31,23.7
長濱鄉公所,膽墁,33,103,115,10.32,11.43
中華路,長虹橋,32,5,75,63.26,66.95
花蓮轉運站,牛寮坑,32,1,38,40.76,34.36
花蓮轉運站,親不知子海上古道,32,1,46,46.13,43.55
中正國小,海洋公園,32,8,23,16.25,10.2
花蓮文創園區(中正),成功,32,6,126,110.63,116.28
花蓮轉運站,北美山,31,1,116,114.47,103.24
和南寺,鹽寮,31,26,27,0.16,0.68
花蓮轉運站,水璉分隊,31,1,32,33.39,28.03
長濱,南竹湖,31,100,109,8.91,6.03
豐濱監工站,靜浦國小,30,59,77,16.84,19.05
吉安分局,三仙台遊憩區,30,10,118,100.63,102.38
海岸東海十五街口,成功,30,12,126,102.25,114.11
中華路,北立德,29,5,61,52.28,50.77
花蓮轉運站,北立德,29,1,61,59.99,53.16
花蓮轉運站,深橋,29,1,56,51.27,50.32
花蓮轉運站,永福,29,1,105,106.04,93.61
花蓮轉運站,花蓮大橋,27,1,19,23.45,10.66
花蓮轉運站,宜灣,27,1,111,112.11,98.77
花蓮文創園區(中正),水璉一街,27,6,33,25.13,25.49
海岸南海四街口,石梯漁港,27,15,67,46.48,56.98
大港口,長濱,26,74,95,20.78,16.8
大港口,靜浦,26,74,79,3.12,2.77
海岸南海四街口,豐濱監工站,26,15,59,34.63,45.48
南埔加油站,新社,26,11,48,31.5,41.01
花蓮轉運站,磯崎海水浴場,26,1,42,44.61,41.23
獅子山,長光,26,73,94,21.01,16.94
明禮國小,南埔加油站,26,4,11,8.47,3.01
吉安分局,牛山,26,10,35,23.64,24.58
帝君廟,花蓮文創園區(中正),26,2,6,4.58,2.08
花蓮轉運站,北烏石鼻,26,1,108,108.49,95.7
南樟原,長濱,26,85,95,13.2,11.22
中華路,立德,25,5,62,54.06,51.5
花蓮文創園區(中正),南埔加油站,25,6,11,7.4,1.8
中華路,中正國小,25,5,8,2.93,1.26
花蓮轉運站,海岸東海十五街口,25,1,12,16.9,5.04
高山,豐濱,25,45,60,10.13,9.79
明禮國小,花蓮文創園區(中正),25,4,6,1.08,1.2
中華路,長濱分駐所,25,5,96,88.21,84.58
中華路,北福德,25,5,24,20.62,12.97
長濱分駐所,膽墁,25,96,109,14.47,9.39
海岸南海十一街口,海洋公園,25,17,23,6.04,6.1
中華路,海岸南海二街口,25,5,14,11.66,3.47
港口,長濱分駐所,25,76,101,30.93,20.34
花蓮文創園區(中正),三仙台遊憩區,24,6,118,106.58,103.88
中華路,新莊,24,5,51,41.3,45.54
吉安分局,新社國小,24,10,49,33.52,42.17
花蓮轉運站,靜埔B,24,1,82,76.47,73.33
石門休憩區,南石梯坪,24,68,74,2.89,4.64
北回歸線,南樟原,23,80,85,2.89,2.21
中華紙漿廠(海岸路),磯崎海水浴場,23,18,42,21.82,32.47
仁里橋,靜浦教會,23,9,78,60.21,67.11
南埔加油站,海岸南海十一街口,23,11,17,4.93,3.06
吉安分局,葛瑪蘭民宿,23,10,44,31.02,37.95
海岸南海四街口,豐濱,23,15,60,35.76,46.26
獅子山,北回歸線,23,73,80,5.25,3.77
花蓮轉運站,重安,23,1,112,112.94,98.96
仁里橋,成功,23,9,126,106.76,115.09
花蓮文創園區(中正),水璉,22,6,34,27.6,25.68
花蓮文創園區(中正),仁里橋,22,6,9,3.87,1.18
月洞,長光,22,71,94,21.95,17.62
長濱,三仙台遊憩區,22,95,118,23.97,21
中福站,和南寺,22,7,26,18.98,13.78
花蓮文創園區(中正),豐濱監工站,22,6,59,46.31,48.82
花蓮轉運站,中華紙漿廠(海岸路),22,1,18,22.79,8.77
長濱分駐所,長濱鄉公所,22,96,97,1.12,0.47
花蓮轉運站,膽墁,22,1,109,110.38,96.36
花蓮文創園區(中正),大石鼻山步道,22,6,43,36.79,38.7
中福站,海岸南海十一街口,22,7,17,11.16,4.52
北回歸線,竹湖國小,22,80,101,27.12,18.15
明禮國小,海岸南海十一街口,22,4,17,13.41,6.07
大港口,長虹橋,21,74,75,0.62,0.38
月洞,長濱,21,71,95,22.29,17.88
北樟原,長光,21,84,94,13.21,11.66
花蓮文創園區(中正),吉安分局,21,6,10,5.95,1.5
花蓮文創園區(中正),靜浦,21,6,79,64.94,68.86
