上車站牌名稱,下車站牌名稱,票證數,上序,下序,現行_公里,鏡像_公里
中福站,長濱,8,7,100,91.79,87.11
中正國小,長濱,8,8,100,90.84,86.68
花蓮文創園區(中正),石梯漁港,8,6,71,60.32,65.01
中華路,親不知子海上古道,8,5,48,39.71,43.3
重安,成功,8,118,126,4.06,12.39
南石梯坪,北回歸線,8,74,85,7.58,5.58
明禮國小,大石鼻山步道,8,4,45,38.38,41.01
海岸南海二街口,海岸南海八街口,8,14,16,1.01,1.19
豐濱監工站,南石梯坪,8,63,74,5.97,14.53
花蓮轉運站,大?村,8,1,88,83.9,76.75
海岸南海四街口,北東興,7,15,52,29.62,41.97
明禮國小,南福德,7,4,25,21.06,14.78
長濱分駐所,南竹湖,7,96,103,7.88,3.85
長濱,八桑安,7,95,106,15.94,8.63
中福站,三仙台遊憩區,7,7,118,105.41,103.54
花蓮文創園區(中正),長濱分駐所,7,6,96,87.4,84.09
仁里橋,奚卜蘭遊客中心,7,9,76,58.83,66.08
中正國小,南埔加油站,7,8,11,5.28,1.04
北立德,長濱,7,61,95,31.13,32.6
中福站,石梯漁港,7,7,67,57,59.98
海岸南海四街口,恩主公廟,7,15,57,32,44.4
中華路,小港,7,5,115,106.4,99.87
明禮國小,大港口,7,4,74,62.9,67.29
帝君廟,真柄,7,2,92,86.25,80.25
界橋,三仙台遊憩區,7,110,118,3.68,8.45
市民廣場,中華路,7,3,5,2.96,1.15
仁里橋,海岸南海十一街口,7,9,17,8.45,3.68
中正國小,蕃薯寮休息區,7,8,36,29.41,27.94
吉安分局,大港口,7,10,74,55.88,64.58
靜浦,三間屋,7,79,89,11.33,6.65
明禮國小,和南寺,7,4,26,21.23,15.33
北美山,三仙台遊憩區,7,116,118,0.62,3.52
豐濱,大灣,7,60,63,8.43,1.96
明禮國小,長光,7,4,94,83.35,83.83
吉安分局,靜浦國小,7,10,77,57.2,66.37
海岸南海十一街口,石梯坪遊憩區,7,17,68,46.61,56.58
大港口,長濱分駐所,7,74,96,25.57,18.01
仁里橋,明禮國小,7,9,4,4.95,2.38
北回歸線,北回歸線,7,80,80,0,0
吉安分局,大石鼻山步道,7,10,43,30.84,37.2
花蓮文創園區(中正),七七高地,7,6,20,15.66,8.26
中福站,吉安分局,7,7,10,4.78,1.16
中福站,靜浦,7,7,79,63.78,68.52
中華路,永豐橋,7,5,54,42.88,46.99
磯崎海水浴場,豐濱,7,42,60,11.34,11.24
明禮國小,海岸南海二街口,7,4,14,11.93,4.18
海岸南海八街口,靜浦,7,16,79,53.08,64.69
明禮國小,中福站,7,4,7,2.24,1.55
海岸南海十一街口,三仙台遊憩區,7,17,118,94.25,99.02
市民廣場,中福站,7,3,7,4.93,1.98
長光,長濱,7,94,95,0.34,0.26
仁里橋,北東興,7,9,55,38.58,46.07
樟原,長濱,7,91,100,13.9,11.22
石雨傘,成功,7,119,126,3.64,10.63
石梯坪遊憩區,北回歸線,7,68,80,7.57,8.01
膽墁,成功,7,115,126,5.04,16.9
海岸南海八街口,成功,7,16,126,98.77,112.11
靜浦國小,長濱,7,81,100,25.88,17.31
靜浦,長濱鄉公所,7,84,103,26.22,16.98
宜灣,成功,7,117,126,4.38,14.47
市民廣場,花蓮文創園區(中正),7,3,6,3.77,1.63
吉安分局,南石梯坪,7,10,74,55.88,64.58
花蓮文創園區(中正),海岸南海四街口,6,6,15,11.68,3.34
花蓮大橋,磯崎,6,19,40,20.11,26.56
中華紙漿廠(海岸路),大港口,6,18,74,47.55,60.19
水璉,牛山,6,34,35,1.98,0.4
新社國小,三仙台遊憩區,6,49,118,67.11,60.21
南埔加油站,大俱來,6,11,88,67.99,72.07
市民廣場,豐濱,6,3,60,51.2,51.23
百齡,北回歸線,6,50,80,26.62,24.84
南埔加油站,海岸南海八街口,6,11,16,4.46,2.36
吉安分局,靜浦教會,6,10,78,58.13,66.79
中華路,水璉分隊,6,5,32,25.68,25.64
大港口,北回歸線,6,74,80,4.69,3.37
中正國小,磯崎海水浴場,6,8,42,33.98,37.59
豐濱,北立德,6,60,61,4.04,0.69
海岸南海四街口,橄樹腳,6,15,30,11.51,15.91
南埔加油站,水璉分隊,6,11,32,17.48,23.35
明禮國小,新社,6,4,48,39.98,44.02
花蓮文創園區(中正),大坑,6,6,22,17.03,10.24
吉安分局,海岸南海二街口,6,10,14,4.9,1.48
南埔加油站,靜浦教會,6,11,78,56.69,66.49
大峯村,長光,6,83,94,13.96,11.84
小港,石梯坪遊憩區,6,58,68,12.93,13.32
南埔加油站,北回歸線,6,11,80,59.12,67.65
帝君廟,長光,6,2,94,86.85,84.71
靜浦國小,三仙台遊憩區,6,77,118,43.43,36.01
南埔加油站,三仙台遊憩區,6,11,118,99.18,102.08
花蓮文創園區(中正),城子埔,6,6,93,82.08,80.15
靜浦,三間,6,79,90,13.32,7.17
靜浦,靜浦,6,79,79,0,0
中華路,南樟原,6,5,85,70.21,72.15
北東興,豐濱,6,52,60,6.14,4.29
海洋公園,海洋公園,6,23,23,0,0
帝君廟,長濱分駐所,6,2,96,91.98,86.17
花蓮文創園區(中正),中正國小,6,6,8,2.12,0.77
中華路,新社梯田,6,5,47,39.11,41.73
豐濱,月洞,6,60,71,12.88,15.41
海岸南海四街口,海洋公園,6,15,23,6.69,7.63
豐濱,北石梯坪,6,60,69,12.19,12.16
小港,三仙台遊憩區,6,115,118,0.99,4.51
中正國小,高山,6,8,45,35.19,39.04
中正國小,水璉一街,6,8,33,23.01,24.72
帝君廟,靜浦國小,6,2,77,67.72,69.95
海洋公園,三仙台遊憩區,6,23,118,88.21,92.92
奚卜蘭遊客中心,靜浦,6,76,79,2.24,1.59
海岸東海十五街口,南東興,6,12,53,33.29,43.77
鹽寮,水璉一街,6,27,33,4.82,10.69
明禮國小,高山,6,4,45,38.38,41.01
仁里橋,高山,6,9,45,33.43,38.62
大石鼻山步道,石門休憩區,6,43,64,19.41,13.19
南東興,豐濱,6,53,60,5.76,3.66
長濱鄉衛生所,成功,6,102,126,16.45,28.5
花蓮轉運站,奇卡旦,6,1,57,52.2,50.61
吉安分局,港口,6,10,76,56.75,65.76
海岸東海十五街口,高山,6,12,47,29.92,39.08
靜埔B,成功,6,82,126,42.68,45.82
新社,長濱分駐所,6,48,96,48.5,41.28
花蓮轉運站,南坑,6,1,35,38.11,28.96
豐濱,北美山,6,64,122,52.04,56.67
海岸南海十一街口,真柄,6,17,97,76.18,79.7
花蓮文創園區(中正),親不知子海上古道,6,6,48,38.9,42.82
靜浦,寧埔社區,6,84,113,35.73,25.94
中福站,靜浦教會,6,7,83,67.14,70.44
真柄,長濱,6,97,100,4.45,2.88
中正國小,百齡,6,8,53,39.56,45.17
中正國小,新社國小,6,8,52,39.18,44.54
牛寮坑,大石鼻山步道,6,40,45,2.26,5.46
樟原,成功,6,91,126,31.58,40.04
市民廣場,水璉一街,6,3,33,28.9,27.12
花蓮文創園區(中正),磯崎海水浴場,6,6,44,36.97,39.45
南埔加油站,磯崎道班房,6,11,43,29.39,36.9
港口,長濱鄉衛生所,6,76,102,31.48,20.51
中福站,小湖,6,7,49,38.3,43.33
市民廣場,磯崎海水浴場,6,3,44,40.74,41.08
竹湖,成功,6,108,126,10.66,23.45
田組,成功,6,104,126,13.85,26.88
長濱鄉公所,南竹湖,6,103,109,6.59,5.54
南埔加油站,長虹橋,6,11,79,57.55,67.05
砂脈橋,豐濱,6,41,64,20.9,14.34
新社,長濱鄉衛生所,6,51,102,53.69,42.72
豐濱,北回歸線,5,60,80,19.08,19.86
大港口,長光,5,74,94,20.44,16.54
豐濱監工站,奚卜蘭遊客中心,5,59,76,16.39,18.44
靜浦,宜灣,5,79,111,38.65,27.04
南埔加油站,北石梯坪,5,11,69,52.23,59.95
靜浦,八仙洞,5,79,87,8.47,3.85
長濱,界橋,5,95,110,20.29,12.54
明禮國小,北東興,5,4,52,42.37,46.51
樟原,長光,5,86,94,12.07,10.17
中福站,鹽寮,5,7,27,19.14,14.46
北立德,靜浦,5,61,79,13.47,18.57
明禮國小,長濱,5,4,95,83.68,84.09
中華路,北樟原,5,5,84,69.86,71.46
八桑安,三仙台遊憩區,5,106,118,8.03,12.37
吉安分局,蕃薯寮休息區,5,10,36,25.58,27.2
花蓮轉運站,大灣,5,1,63,64.38,54.43
海岸南海十一街口,豐濱監工站,5,17,59,33.98,43.96
帝君廟,獅子山,5,2,73,65.84,67.77
帝君廟,城子埔,5,2,93,86.66,82.23
中華路,千禧山莊,5,5,82,68.77,70.94
石門休憩區,港口,5,64,72,4.3,13.41
北烏石鼻,三仙台遊憩區,5,108,118,6.6,11.06
明禮國小,海岸南海四街口,5,4,15,12.76,4.54
花蓮文創園區(中正),小港,5,6,58,46,48.13
北真柄,三仙台遊憩區,5,91,118,27.52,27.65
市民廣場,蕃薯寮休息區,5,3,36,35.29,30.34
中正國小,豐濱監工站,5,8,59,44.19,48.05
磯崎,豐濱,5,40,60,12.39,15.25
北回歸線,玉水橋,5,80,114,38.55,28.72
中華路,長光,5,5,94,83.08,83.12
仁里橋,水璉一街,5,9,33,21.26,24.31
市民廣場,豐濱監工站,5,3,59,50.08,50.45
新社國小,長光,5,49,94,42.8,38.95
中正國小,和南寺,5,8,26,18.03,13.36
中正國小,海岸南海二街口,5,8,14,8.73,2.21
新社梯田,豐濱監工站,5,47,59,8.01,7.57
北回歸線,三間,5,80,90,11.75,6.57
豐濱,玉水橋,5,60,114,57.63,48.58
海岸南海四街口,蕃薯寮休息區,5,15,36,19.85,25.36
中福站,中華紙漿廠(海岸路),5,7,18,13.11,5.55
中正國小,海岸南海四街口,5,8,15,9.56,2.57
靜浦,南竹湖,5,79,103,30.33,19.09
靜浦,北回歸線,5,79,80,1.57,0.6
靜浦,三富橋,5,79,81,2.14,1.29
帝君廟,大坑,5,2,22,21.61,12.32
南東興,豐濱監工站,5,53,59,4.64,2.89
靜浦教會,南樟原,5,78,85,5.32,3.37
吉安分局,長濱鄉公所,5,10,97,82.56,83.07
中福站,磯崎海水浴場,5,7,42,34.93,38.02
花蓮文創園區(中正),獅子山,5,6,73,61.26,65.69
帝君廟,三仙台遊憩區,5,2,118,111.16,105.96
北回歸線,千禧山莊,5,80,82,1.44,0.99
仁里橋,中福站,5,9,7,2.71,0.84
新社,靜浦,5,48,79,26.04,26.04
長濱,竹湖,5,95,102,11.58,4.89
北石梯坪,白守蓮,5,69,117,46.63,40.05
中華路,橄樹腳,5,5,30,24,19.74
吉安分局,親不知子海上古道,5,10,46,31.66,39.17
靜浦教會,靜浦,5,78,79,0.86,0.57
仁里橋,海岸南海八街口,5,9,16,7.99,2.98
新社,北回歸線,5,48,80,27.61,26.64
北真柄,長濱分駐所,5,91,96,8.34,7.86
砂脈橋,豐濱監工站,5,39,59,12.42,16.45
明禮國小,海岸南海八街口,5,4,16,12.94,5.37
和南寺,蕃薯寮休息區,5,26,36,11.38,14.58
帝君廟,大石鼻山步道,5,2,43,41.37,40.78
中華路,中華路,5,5,5,0,0
中福站,仁里橋,5,7,9,2.71,0.84
立德,北回歸線,5,62,80,13.26,18.45
南埔加油站,北樟原,5,11,84,61.66,69.17
花蓮轉運站,芭崎,5,1,37,40.25,32.37
仁里橋,長光,5,9,94,78.39,81.45
吉安分局,北東興,5,10,55,36.5,45.75
水璉一街,牛山,5,33,36,6.4,3.21
南埔加油站,新社國小,5,11,49,32.07,41.87
長濱分駐所,永福,5,96,99,4.23,1.83
南樟原,長濱分駐所,5,85,96,17.99,12.43
中華路,長濱鄉衛生所,5,5,102,95,88.26
南埔加油站,南樟原,5,11,90,70.87,74.22
北回歸線,北美山,5,80,116,39.44,30.9
市民廣場,海岸東海十五街口,5,3,12,12.15,3.8
港口,靜浦教會,5,76,83,5.61,3.52
南埔加油站,石梯坪遊憩區,5,11,72,53.11,63.5
仁里橋,長濱分駐所,5,9,101,89.76,86.43
仁里橋,港口,5,9,76,58.83,66.08
市民廣場,立德,5,3,66,61.24,57.92
七七高地,南福德,5,20,25,4.33,5.31
明禮國小,大俱來,5,4,93,83.15,81.36
海岸南海四街口,港口,5,15,76,51.02,63.92
竹湖,膽墁,5,108,115,5.62,6.55
港口,成功,5,76,126,47.93,49.01
吉安分局,長濱,5,10,100,87.01,85.95
港口,長虹橋,5,76,79,2.24,1.59
帝君廟,和南寺,5,2,26,24.73,16.2
海岸南海二街口,小湖,5,14,49,28.62,40.7
北福德,海巡防,5,24,28,2.03,3.64
奚卜蘭遊客中心,奚卜蘭遊客中心,5,80,80,0,0
新社國小,北美山,5,52,122,66.95,63.26
和南寺,成功,5,26,126,90.48,102.15
南石梯坪,南石梯坪,5,74,74,0,0
中華路,長濱鄉公所,5,5,103,96.08,88.43
石梯灣,港口,5,70,76,2.68,3.18
中正國小,大石鼻山步道,5,8,45,35.19,39.04
海岸南海二街口,重安,5,14,118,95.73,100.91
吉安分局,石梯漁港,5,10,71,54.37,63.51
南東興,長濱,5,56,100,50.21,40.01
海岸南海二街口,石梯漁港,5,14,71,49.47,62.03
芭崎,豐濱,5,39,64,22.32,19.52
中正國小,三間,5,8,95,80.49,82.12
仁里橋,三富橋,5,9,86,66.33,71.27
獅子山,長濱鄉衛生所,5,77,102,31.04,19.9
恩主公廟,豐濱監工站,4,57,59,2.63,1.08
靜浦國小,靜浦,4,77,79,1.8,0.99
南埔加油站,八桑安,4,11,106,91.15,89.71
仁里橋,牛寮坑,4,9,38,28.37,30.3
中華路,白守蓮,4,5,117,107.07,102.3
宜灣,三仙台遊憩區,4,111,118,2.98,7.99
新莊,豐濱監工站,4,51,59,5.81,3.77
花蓮文創園區(中正),新社國小,4,6,49,39.47,43.67
樟原,長濱分駐所,4,86,96,17.19,11.64
仁里橋,蕃薯寮休息區,4,9,36,27.65,27.52
帝君廟,靜浦教會,4,2,78,68.66,70.37
靜浦,大俱來,4,79,88,10.44,5.01
嶺頂,海洋公園,4,21,23,2.13,1.76
北樟原,長濱分駐所,4,84,96,18.34,13.12
長光,長光,4,94,94,0,0
明禮國小,嶺頂,4,4,21,17.32,10.41
海岸南海四街口,鹽寮,4,15,27,8.63,11.46
仁里橋,海岸南海四街口,4,9,15,7.8,2.16
花蓮文創園區(中正),靜浦教會,4,6,78,64.08,68.29
花蓮文創園區(中正),樟原,4,6,86,70.2,72.46
明禮國小,北樟原,4,4,84,70.13,72.17
新社國小,小港,4,49,115,66.13,55.7
中華紙漿廠(海岸路),海洋公園,4,18,23,4.09,5.08
吉安分局,牛寮坑,4,10,38,26.3,29.98
海岸南海四街口,三仙台遊憩區,4,15,118,94.9,100.54
明禮國小,獅子山,4,4,73,62.34,66.89
大石鼻山步道,石梯坪遊憩區,4,43,68,22.15,22.74
獅子山,三仙台遊憩區,4,73,118,45.32,38.19
海岸南海十一街口,八桑安,4,17,106,86.22,86.65
靜浦,八桑安,4,79,106,33.61,22.66
靜浦國小,長光,4,77,94,19.12,14.76
北回歸線,北真柄,4,80,91,12.54,6.78
仁里橋,新社,4,9,48,35.03,41.64
長濱,長濱分駐所,4,95,96,4.79,1.21
北回歸線,八桑安,4,80,106,32.04,22.06
海岸南海十一街口,大石鼻山步道,4,17,43,24.46,33.84
月洞,北回歸線,4,71,80,6.19,4.45
花蓮轉運站,北八桑安,4,1,105,106.04,93.61
豐濱監工站,石梯坪遊憩區,4,59,68,12.63,12.63
中福站,北福德,4,7,24,18.65,12.14
花蓮文創園區(中正),磯崎,4,6,40,35.05,34.34
海岸南海四街口,新莊,4,15,51,28.82,41.71
花蓮文創園區(中正),海岸南海一街口,4,6,13,9.58,2.7
中華路,葛瑪蘭民宿,4,5,44,37.78,39.94
新社梯田,靜浦,4,47,79,26.64,27.61
豐濱,長濱分駐所,4,60,96,39.96,34.5
石梯坪遊憩區,獅子山,4,68,73,2.32,4.24
靜浦,小港,4,79,115,40.65,30.52
仁里橋,長虹橋,4,9,75,58.57,65.28
南埔加油站,北福德,4,11,24,12.42,10.68
海岸南海二街口,豐濱,4,14,60,36.59,46.62
北福德,南福德,4,24,25,0.17,1.09
海岸南海二街口,石梯坪遊憩區,4,14,68,48.09,58.47
石門休憩區,石梯坪遊憩區,4,64,68,2.74,9.55
長光,長濱鄉公所,4,94,97,6.24,1.94
八仙洞,長光,4,87,94,8.85,9.92
海岸南海四街口,月洞,4,15,71,48.64,61.67
海岸東海十五街口,海洋公園,4,12,23,9.99,8.8
中福站,北回歸線,4,7,80,65.35,69.12
百齡,靜浦,4,50,79,25.05,24.24
明禮國小,親不知子海上古道,4,4,46,38.69,41.88
花蓮文創園區(中正),海岸南海八街口,4,6,16,11.86,4.16
中福站,新社梯田,4,7,47,37.14,40.9
中華路,大俱來,4,5,88,76.19,74.36
花蓮轉運站,石門,4,1,65,65.27,57.38
中華路,花蓮大橋,4,5,19,15.74,8.27
三間,田組,4,90,98,10.85,9.31
中華路,海岸南海一街口,4,5,13,10.39,3.19
海岸南海四街口,大石鼻山步道,4,15,43,25.11,35.36
大峯村,長濱分駐所,4,83,96,19.09,13.31
中正國小,成功,4,8,126,108.52,115.51
中正國小,石梯坪遊憩區,4,8,72,58.39,64.54
南埔加油站,南坑,4,11,35,22.19,24.28
七七高地,水璉分隊,4,20,32,9.21,16.89
豐濱,大峯村,4,60,83,20.87,21.19
南福德,砂脈橋,4,25,39,13.9,18.8
花蓮文創園區(中正),港口,4,6,76,62.7,67.26
明禮國小,長濱分駐所,4,4,96,88.47,85.3
鹽寮,大石鼻山步道,4,27,43,16.48,23.9
鹽寮,新社國小,4,27,52,20.99,30.51
磯崎,新社,4,40,48,3.85,8.47
北真柄,成功,4,96,126,23.24,32.18
小港,成功,4,121,126,2.88,8.52
花蓮大橋,港口,4,19,76,47.77,59.48
北美山,成功,4,122,126,2.39,7.71
長濱,永福,4,100,105,4.56,3.28
北回歸線,永福,4,85,105,28.12,19.07
海岸南海四街口,南石梯坪,4,15,74,50.15,62.74
長濱分駐所,界橋,4,101,116,12.32,12.75
花蓮大橋,花蓮大橋,4,19,19,0,0
明禮國小,仁里橋,4,4,9,4.95,2.38
三富橋,寧埔社區,4,86,113,34.58,24.45
南福德,石梯坪遊憩區,4,25,72,40.52,51.73
大坑,海洋公園,4,22,23,1.34,0.73
深橋,長濱分駐所,4,60,101,46.2,38.01
仁里橋,吉安分局,4,9,10,2.08,0.32
海岸東海十五街口,港口,4,12,76,54.32,65.1
長濱鄉公所,田組,4,103,104,1.52,1.45
新社國小,南東興,4,52,56,1.45,2.13
中福站,親不知子海上古道,4,7,48,37.73,42.47
南樟原,成功,4,90,126,32.37,40.25
長濱鄉公所,竹湖國小,4,103,107,4.22,4.15
豐濱,靜埔B,4,64,82,11.75,18.55
仁里橋,新社梯田,4,9,50,36.01,43.43
豐濱監工站,北回歸線,4,63,85,13.54,20.11
中正國小,小港,4,8,62,51.14,50.24
豐濱監工站,石梯漁港,4,63,71,4.46,13.45
長濱鄉公所,北八桑安,4,103,111,8.32,7.95
仁里橋,立德,4,9,66,53.6,55.1
豐濱監工站,成功,4,63,126,54.77,64.72
八仙洞,長濱,4,92,100,11.28,9.28
明禮國小,水璉一街,4,4,33,26.21,26.69
海岸南海一街口,海岸南海十一街口,4,13,17,2.74,2.17
北回歸線,長濱鄉衛生所,4,85,102,24.78,16.11
大石鼻山步道,石梯漁港,4,45,71,23.01,25.21
中華路,芭崎,4,5,39,34.7,32.86
芭崎,磯崎,4,39,42,2.21,5.98
中福站,海岸南海八街口,4,7,16,10.7,3.82
鹽寮,小港,4,27,121,87.45,92.96
中正國小,海岸南海一街口,4,8,13,7.47,1.93
小港,寧埔社區,4,62,113,51.53,45.9
石梯坪遊憩區,北真柄,4,72,96,26.89,18.79
海岸南海八街口,大石鼻山步道,4,16,45,25.45,35.64
大石鼻山步道,長濱,4,45,100,55.65,47.65
花蓮大橋,鹽寮,4,19,27,5.37,7.02
樟原,真柄,3,86,92,11.47,5.71
中福站,牛寮坑,3,7,38,31.08,31.14
中福站,立德,3,7,62,52.09,50.67
海岸東海十五街口,新社,3,12,48,30.52,40.65
海岸南海四街口,水璉一街,3,15,33,13.45,22.15
中福站,南福德,3,7,25,18.82,13.23
花蓮文創園區(中正),奚卜蘭遊客中心,3,6,76,62.7,67.26
長濱,田組,3,95,98,6.51,2.45
吉安分局,新莊,3,10,51,34.55,43.55
花蓮文創園區(中正),大港口,3,6,74,61.83,66.08
市民廣場,大石鼻山步道,3,3,43,40.56,40.34
石門休憩區,八桑安,3,64,106,42.35,39.62
北回歸線,竹湖,3,80,102,27.67,18.32
和南寺,三仙台遊憩區,3,26,118,86.43,89.76
南竹湖,八桑安,3,103,106,3.27,3.57
帝君廟,三富橋,3,2,81,71.66,72.22
帝君廟,恩主公廟,3,2,57,48.26,49.82
深橋,長濱,3,56,95,39.86,35.45
三富橋,八仙洞,3,81,87,6.33,2.56
花蓮文創園區(中正),長光,3,6,94,82.27,82.63
花蓮文創園區(中正),南永福,3,6,100,92.96,87.45
花蓮文創園區(中正),花蓮文創園區(中正),3,6,6,0,0
明禮國小,月洞,3,4,71,61.4,66.21
南埔加油站,八仙洞,3,11,87,66.02,70.91
明禮國小,新社國小,3,4,49,40.54,44.88
中正國小,三仙台遊憩區,3,8,118,104.46,103.12
中華紙漿廠(海岸路),靜浦,3,18,79,50.67,62.97
花蓮文創園區(中正),高山,3,6,45,37.31,39.8
南樟原,三仙台遊憩區,3,85,118,37.18,32.22
百齡,三仙台遊憩區,3,50,118,66.69,59.27
中正國小,城子埔,3,8,93,79.96,79.39
吉安分局,南福德,3,10,25,14.04,12.07
城子埔,長光,3,93,94,0.19,2.47
帝君廟,長濱,3,2,95,87.18,84.97
海岸南海八街口,北東興,3,16,52,29.43,41.15
中福站,百齡,3,7,50,38.72,44.27
新社梯田,豐濱,3,47,60,9.13,8.35
南福德,豐濱,3,25,60,27.45,36.02
海岸南海十一街口,大坑,3,17,22,4.7,5.37
八仙洞,八桑安,3,87,106,25.14,18.81
南樟原,長濱鄉公所,3,85,97,19.11,12.91
南埔加油站,南埔加油站,3,11,11,0,0
海岸南海四街口,靜浦,3,15,79,53.26,65.52
仁里橋,新社國小,3,9,49,35.59,42.49
海岸南海四街口,南福德,3,15,25,8.31,10.23
花蓮文創園區(中正),長濱,3,6,95,82.6,82.89
鹽寮,三仙台遊憩區,3,27,118,86.27,89.08
長濱,重安,3,95,112,21.81,13.19
仁里橋,北石梯坪,3,9,69,55.75,60.57
豐濱監工站,三富橋,3,59,81,20.77,21.32
仁里橋,竹湖國小,3,9,101,89.76,86.43
中華紙漿廠(海岸路),牛寮坑,3,18,38,17.97,25.59
水璉一街,靜浦,3,33,79,39.81,43.37
北回歸線,三富橋,3,80,81,0.57,0.69
靜浦,千禧山莊,3,79,82,3.01,1.59
海岸南海二街口,靜浦教會,3,14,78,53.24,65.31
長濱,城山,3,95,104,14.18,6.51
花蓮文創園區(中正),深橋,3,6,56,42.75,47.44
靜浦,南永福,3,79,100,28.02,18.59
靜浦,竹湖,3,79,102,29.24,18.92
仁里橋,花蓮文創園區(中正),3,9,6,3.87,1.18
海岸南海十一街口,水璉一街,3,17,33,12.8,20.63
海岸南海二街口,北東興,3,14,52,30.45,42.33
親不知子海上古道,豐濱監工站,3,46,59,8.7,8.14
三富橋,北樟原,3,81,84,1.97,0.82
明禮國小,北回歸線,3,4,80,67.59,70.66
中正國小,大港口,3,8,74,59.71,65.32
南埔加油站,深橋,3,11,56,35.35,45.64
中福站,海岸南海四街口,3,7,15,10.51,3
中正國小,南福德,3,8,25,17.87,12.81
中華路,磯崎,3,5,40,35.86,34.83
中正國小,北石梯坪,3,8,69,57.51,60.99
明禮國小,北石梯坪,3,4,69,60.71,62.96
鹽寮,芭崎,3,27,37,11.43,14.69
鹽寮,12號橋,3,27,31,3.36,5.56
海洋公園,豐濱,3,23,60,29.07,38.63
石梯漁港,城子埔,3,67,93,23.91,19.83
石梯坪遊憩區,樟原,3,68,86,11.26,11.01
南埔加油站,石梯漁港,3,11,67,50.77,58.52
花蓮文創園區(中正),白守蓮,3,6,117,106.26,101.81
花蓮文創園區(中正),橄樹腳,3,6,30,23.19,19.25
海岸南海二街口,牛寮坑,3,14,38,21.4,28.51
北石梯坪,長光,3,69,94,22.64,20.87
明禮國小,南石梯坪,3,4,70,61.1,65.28
吉安分局,奚卜蘭遊客中心,3,10,76,56.75,65.76
北東興,長光,3,52,94,40.97,37.32
仁里橋,北回歸線,3,9,80,62.64,68.28
三富橋,竹湖國小,3,81,101,26.55,17.46
靜浦教會,樟原,3,78,86,6.12,4.16
仁里橋,水璉,3,9,34,23.73,24.5
海岸南海八街口,磯崎海水浴場,3,16,42,24.23,34.19
中華路,富光,3,5,55,43.26,47.74
海岸南海一街口,豐濱,3,13,64,46.62,49.2
嶺頂,鹽寮,3,21,27,4.07,5.59
中正國小,大坑,3,8,22,14.91,9.47
長濱,長濱,3,100,100,0,0
北石梯坪,獅子山,3,69,73,1.63,3.94
豐濱,八仙洞,3,60,87,25.98,23.11
仁里橋,北樟原,3,9,84,65.18,69.79
海岸南海十一街口,靜浦教會,3,17,83,55.98,65.92
中福站,新社,3,7,48,37.73,42.47
明禮國小,磯崎海水浴場,3,4,42,37.17,39.56
南埔加油站,新莊,3,11,51,33.1,43.25
水璉一街,芭崎,3,33,37,6.6,4
市民廣場,靜浦,3,3,79,68.71,70.49
恩主公廟,月洞,3,61,75,10.98,16.18
石梯坪遊憩區,長濱鄉衛生所,3,72,102,33.68,22.47
中華路,北回歸線,3,5,80,67.32,69.95
仁里橋,竹湖,3,9,108,96.1,91.64
南福德,大石鼻山步道,3,25,45,17.32,26.23
中華路,中華紙漿廠(海岸路),3,5,18,15.09,6.38
仁里橋,三間屋,3,9,94,78.39,81.45
牛山,大石鼻山步道,3,36,45,5.78,11.1
立德,靜浦,3,66,84,11.58,14.68
吉安分局,北美山,3,10,122,102.3,107.07
靜浦教會,成功,3,83,126,42.33,45.49
芭崎,豐濱監工站,3,39,63,21.97,19.18
吉安分局,大俱來,3,10,93,76.13,78.65
石梯漁港,長光,3,71,99,31.31,20.91
南埔加油站,南石梯坪,3,11,74,54.43,64.28
砂脈橋,大石鼻山步道,3,41,45,2.01,2.25
中福站,靜埔B,3,7,82,66.79,70.11
市民廣場,三仙台遊憩區,3,3,125,113.61,113.97
中正國小,南坑,3,8,35,27.47,25.32
海岸南海十一街口,長濱,3,17,100,80.63,82.59
獅子山,成功,3,77,126,47.49,48.41
南埔加油站,百齡,3,11,53,34.28,44.13
新莊,成功,3,54,126,68.57,69.78
大石鼻山步道,成功,3,45,126,73.33,76.47
市民廣場,嶺頂,3,3,21,20.01,10.84
石梯灣,南石梯坪,3,70,74,1.8,2
水璉,豐濱,3,34,64,28.6,26.22
南埔加油站,鹽寮,3,11,27,12.91,13
明禮國小,港口,3,4,76,63.78,68.47
花蓮文創園區(中正),牛山,3,6,36,31.52,28.7
大俱來,長濱,3,93,100,10.88,7.3
奚卜蘭遊客中心,靜浦教會,3,80,83,1.8,1.33
市民廣場,八仙洞,3,3,92,85.44,79.8
牛寮坑,新社國小,3,40,52,6.25,10.97
大坑,南福德,3,22,25,2.96,3.34
中華紙漿廠(海岸路),水璉,3,18,34,13.33,19.79
豐濱,千禧山莊,3,64,87,17.21,20.81
北烏石鼻,成功,3,114,126,5.57,18.1
帝君廟,港口,3,2,76,67.28,69.34
南埔加油站,親不知子海上古道,3,11,48,31.5,41.01
海岸南海二街口,海洋公園,3,14,23,7.52,7.99
仁里橋,大俱來,3,9,93,78.2,78.97
長濱鄉公所,八桑安,3,103,112,9.14,8.13
嶺頂,成功,3,21,126,94.39,107.07
海岸南海八街口,奚卜蘭遊客中心,3,16,80,54.65,65.29
海岸南海十一街口,南石梯坪,3,17,74,49.5,61.22
百齡,長濱分駐所,3,53,101,51.96,41.68
