站牌代碼,出現次數,站序,累積里程_公里,站名,資料集,附屬路線,方向
293959,2,2、10,7.61、230.45,台東火車站,臺東公路,8101A,0
304981,2,1、13,0、109.82,玉里火車站,花蓮市區,309,0
