資料,月,類別,旗標列,嚴格鍵命中,嚴格%,寬鬆鍵命中,寬鬆%
花蓮公路,114/09,兩端時間正常僅站序-99,625,0,0,16,2.6
花蓮公路,114/09,未刷上車,252,4,1.6,94,37.3
花蓮公路,114/09,未刷下車,297,2,0.7,11,3.7
花蓮公路,114/10,兩端時間正常僅站序-99,10,0,0,0,0
花蓮公路,114/10,未刷上車,225,2,0.9,93,41.3
花蓮公路,114/10,未刷下車,275,2,0.7,25,9.1
花蓮公路,114/11,兩端時間正常僅站序-99,5,0,0,0,0
花蓮公路,114/11,未刷上車,224,1,0.4,89,39.7
花蓮公路,114/11,未刷下車,239,0,0,13,5.4
花蓮公路,114/12,兩端時間正常僅站序-99,2,0,0,0,0
花蓮公路,114/12,未刷上車,204,0,0,87,42.6
花蓮公路,114/12,未刷下車,211,0,0,9,4.3
臺東公路,113/06,未刷上車,66,0,0,6,9.1
臺東公路,113/06,未刷下車,57,0,0,1,1.8
臺東公路,113/07,未刷上車,201,1,0.5,12,6
臺東公路,113/07,未刷下車,232,0,0,3,1.3
臺東公路,113/08,未刷上車,58,0,0,15,25.9
臺東公路,113/08,未刷下車,67,0,0,4,6
臺東公路,113/09,未刷上車,44,0,0,6,13.6
臺東公路,113/09,未刷下車,45,0,0,1,2.2
臺東公路,113/10,未刷上車,54,1,1.9,9,16.7
臺東公路,113/10,未刷下車,49,0,0,3,6.1
臺東公路,113/11,未刷上車,50,0,0,11,22
臺東公路,113/11,未刷下車,70,0,0,3,4.3
臺東公路,113/12,未刷上車,36,0,0,8,22.2
臺東公路,113/12,未刷下車,48,0,0,4,8.3
臺東公路,114/01,未刷上車,33,1,3,8,24.2
臺東公路,114/01,未刷下車,34,0,0,0,0
臺東公路,114/02,兩端時間正常僅站序-99,12,0,0,0,0
臺東公路,114/02,未刷上車,19,0,0,5,26.3
臺東公路,114/02,未刷下車,28,0,0,1,3.6
臺東公路,114/03,未刷上車,18,0,0,6,33.3
臺東公路,114/03,未刷下車,31,0,0,2,6.5
臺東公路,114/04,未刷上車,20,0,0,5,25
臺東公路,114/04,未刷下車,35,0,0,0,0
臺東公路,114/05,未刷上車,17,0,0,1,5.9
臺東公路,114/05,未刷下車,17,0,0,1,5.9
臺東公路,114/06,未刷上車,15,0,0,2,13.3
臺東公路,114/06,未刷下車,27,0,0,0,0
臺東公路,114/07,未刷上車,18,0,0,7,38.9
臺東公路,114/07,未刷下車,26,0,0,0,0
臺東公路,114/08,未刷上車,19,0,0,2,10.5
臺東公路,114/08,未刷下車,25,0,0,0,0
臺東公路,114/09,未刷上車,19,1,5.3,3,15.8
臺東公路,114/09,未刷下車,20,0,0,0,0
臺東公路,114/10,未刷上車,17,0,0,1,5.9
臺東公路,114/10,未刷下車,28,1,3.6,3,10.7
臺東公路,114/11,未刷上車,13,0,0,2,15.4
臺東公路,114/11,未刷下車,23,0,0,0,0
臺東公路,114/12,未刷上車,15,0,0,3,20
臺東公路,114/12,未刷下車,11,0,0,1,9.1
