搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,票證數,反向數,反向占比,正向平均里程_公里,反向abs平均里程_公里,反向里程合計占全體_pct,資料集
308,308,1,13353,1676,12.6,6.93,9.04,0.18,花蓮市區
308,308A,1,2815,54,1.9,6.78,1.18,0,花蓮市區
310,310,0,26010,43,0.2,22.17,11.05,0.01,花蓮市區
310,310,1,26253,33,0.1,20.93,9.19,0,花蓮市區
308,308,0,8576,26,0.3,6.11,4.22,0,花蓮市區
302,302,1,1120,26,2.3,4.3,4.28,0,花蓮市區
307,307,0,390,7,1.8,4.09,2.42,0,花蓮市區
307,307,1,220,5,2.3,4.64,5.15,0,花蓮市區
311,311A,0,3195,2,0.1,4.47,1.92,0,花蓮市區
311,311A,1,1856,1,0.1,4.55,0.84,0,花蓮市區
陸海空線,陸海空線C,0,7438,1804,24.3,3.3,3.79,0.29,臺東市區
陸海空線,陸海空線C,1,2177,1158,53.2,4.54,5.44,0.27,臺東市區
