持卡身分,113/06,113/07,113/08,113/09,113/10,113/12,114/01,114/02,114/03,114/04,114/06,114/07,114/08,114/09,114/10,114/12,115/01,115/02,115/03,115/04
A,7465,7754,8346,8666,8665,8841,7975,6973,8546,8746,7348,7883,8547,8224,8906,8114,6814,7711,8947,9503
B,2051,2121,1973,1969,1829,1775,1837,1811,1964,2245,1974,1807,2041,2133,1894,1684,1542,1595,1652,1930
C01,7482,6931,7599,8917,8647,11112,8500,8437,10443,10702,10284,9849,10302,9481,10181,10431,9159,7987,10990,10991
C02,2159,2006,2496,3161,2784,3612,3204,3402,4090,4019,4033,3894,4038,4086,3921,3994,3740,3176,4348,4252
C09,4570,4271,3702,1720,1473,637,445,461,537,578,571,661,766,742,595,542,572,453,574,545
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
