上車站牌名稱,下車站牌名稱,票證數,反向數,上車表站序,下車表站序,票證上車站序_中位,票證下車站序_中位,abs里程_公里,資料集,搭乘附屬路線名稱,搭乘公車路線方向
麗軒國際飯店,花蓮火車站,11,0,15,31,15,31,6.81,花蓮市區,308,1
北濱公園,郵政總局,3,0,22,27,22,27,2.37,花蓮市區,308,1
中美中興路口,花蓮火車站,36,0,13,31,13,31,7.22,花蓮市區,308,1
中油辦公大樓,花蓮電影城,4,0,6,30,6,30,10.47,花蓮市區,308,1
花蓮酒廠,台灣企銀,17,0,3,25,3,25,11.48,花蓮市區,308,1
門諾醫院,花蓮火車站,37,0,16,31,16,31,6.4,花蓮市區,308,1
市老人會,花蓮火車站,7,0,11,31,11,31,7.73,花蓮市區,308,1
北濱街,花蓮電影城,15,0,23,30,23,30,3,花蓮市區,308,1
海岸中興路口,大同市場,5,0,10,26,10,26,5.94,花蓮市區,308,1
花蓮酒廠,花蓮商校,3,0,3,28,3,28,12.58,花蓮市區,308,1
家扶中心,花蓮火車站,5,0,12,31,12,31,7.47,花蓮市區,308,1
黎明教養院,花蓮火車站,40,0,20,31,20,31,4.85,花蓮市區,308,1
花蓮女中,台灣企銀,14,0,21,25,21,25,1.89,花蓮市區,308,1
福容大飯店,大同市場,13,0,9,26,9,26,6.25,花蓮市區,308,1
福容大飯店,花蓮火車站,12,0,9,31,9,31,8.28,花蓮市區,308,1
花蓮女中,花蓮火車站,20,0,21,31,21,31,4.28,花蓮市區,308,1
花蓮曼波園區(海岸路),北濱公園,14,0,2,22,2,22,10.58,花蓮市區,308,1
門諾醫院,花蓮女中,5,0,16,21,16,21,2.12,花蓮市區,308,1
七星潭,中美中興路口,14,0,1,13,1,13,8.25,花蓮市區,308,1
中美中興路口,璽賓行旅,1,0,13,19,13,19,2.28,花蓮市區,308,1
花蓮曼波園區(海岸路),美侖大飯店,28,0,2,7,2,7,4.96,花蓮市區,308,1
花蓮曼波園區(海岸路),花蓮酒廠,62,0,2,3,2,3,0.71,花蓮市區,308,1
花蓮曼波園區(海岸路),門諾醫院,17,0,2,16,2,16,8.18,花蓮市區,308,1
海岸中興路口,璽賓行旅,2,0,10,19,10,19,3.03,花蓮市區,308,1
門諾醫院,北濱公園,7,0,16,22,16,22,2.39,花蓮市區,308,1
美侖大飯店,黎明教養院,9,0,7,20,7,20,4.77,花蓮市區,308,1
北濱公園,花蓮商校,15,0,22,28,22,28,2.71,花蓮市區,308,1
美侖大飯店,商校街,4,0,7,29,7,29,8.78,花蓮市區,308,1
中油辦公大樓,市老人會,1,0,6,11,6,11,3.3,花蓮市區,308,1
郵政總局,花蓮火車站,16,0,27,31,27,31,1.63,花蓮市區,308,1
中油辦公大樓,郵政總局,3,0,6,27,6,27,9.4,花蓮市區,308,1
海岸中興路口,台灣企銀,27,0,10,25,10,25,5.58,花蓮市區,308,1
七星潭,門諾醫院,24,0,1,16,1,16,9.08,花蓮市區,308,1
麗軒國際飯店,北濱公園,3,0,15,22,15,22,2.81,花蓮市區,308,1
民意社區,花蓮電影城,11,0,5,30,5,30,10.94,花蓮市區,308,1
北濱公園,大同市場,17,0,22,26,22,26,1.98,花蓮市區,308,1
中油辦公大樓,璽賓行旅,1,0,6,19,6,19,6.09,花蓮市區,308,1
璽賓行旅,花蓮商校,24,0,19,28,19,28,3.65,花蓮市區,308,1
花蓮酒廠,中美中興路口,1,0,3,13,3,13,6.65,花蓮市區,308,1
台泥花蓮廠,花蓮火車站,2,0,4,31,4,31,12.8,花蓮市區,308,1
門諾醫院,黎明教養院,1,0,16,20,16,20,1.55,花蓮市區,308,1
花蓮女中,郵政總局,5,0,21,27,21,27,2.65,花蓮市區,308,1
海岸中興路口,海岸中興路口,1,0,10,10,10,10,0,花蓮市區,308,1
海岸中興路口,市老人會,1,0,10,11,10,11,0.24,花蓮市區,308,1
花蓮電影城,花蓮電影城,2,0,30,30,30,30,0,花蓮市區,308,1
亞士都飯店,花蓮火車站,3,0,18,31,18,31,5.3,花蓮市區,308,1
大同市場,花蓮商校,16,0,26,28,26,28,0.73,花蓮市區,308,1
台泥花蓮廠,美侖大飯店,2,0,4,7,4,7,3.18,花蓮市區,308,1
花蓮曼波園區(海岸路),家扶中心,5,0,2,12,2,12,7.12,花蓮市區,308,1
花蓮電影城,花蓮火車站,2,0,30,31,30,31,0.56,花蓮市區,308,1
花蓮酒廠,門諾醫院,1,0,3,16,3,16,7.48,花蓮市區,308,1
花蓮酒廠,美侖大飯店,1,0,3,7,3,7,4.25,花蓮市區,308,1
美崙浸信會,家扶中心,3,0,8,12,8,12,1.25,花蓮市區,308,1
七星潭,花蓮酒廠,634,0,1,3,1,3,1.6,花蓮市區,308,1
煙波大飯店,北濱公園,9,0,17,22,17,22,1.84,花蓮市區,308,1
福容大飯店,花蓮電影城,1,0,9,30,9,30,7.73,花蓮市區,308,1
美崙浸信會,郵政總局,3,0,8,27,8,27,7.09,花蓮市區,308,1
花蓮酒廠,花蓮火車站,2,0,3,31,3,31,13.88,花蓮市區,308,1
花蓮酒廠,北濱街,9,0,3,23,3,23,10.32,花蓮市區,308,1
亞士都飯店,北濱街,2,0,18,23,18,23,1.74,花蓮市區,308,1
門諾醫院,商校街,9,0,16,29,16,29,5.55,花蓮市區,308,1
花蓮女中,商校街,2,0,21,29,21,29,3.44,花蓮市區,308,1
美侖大飯店,郵政總局,5,0,7,27,7,27,7.99,花蓮市區,308,1
郵政總局,花蓮電影城,10,0,27,30,27,30,1.07,花蓮市區,308,1
大同市場,郵政總局,4,0,26,27,26,27,0.4,花蓮市區,308,1
亞士都飯店,北濱公園,2,0,18,22,18,22,1.29,花蓮市區,308,1
中油辦公大樓,北濱公園,2,0,6,22,6,22,7.02,花蓮市區,308,1
台泥花蓮廠,北濱街,6,0,4,23,4,23,9.25,花蓮市區,308,1
商校街,花蓮電影城,1,0,29,30,29,30,0.29,花蓮市區,308,1
台泥花蓮廠,海岸中興路口,1,0,4,10,4,10,4.83,花蓮市區,308,1
璽賓行旅,花蓮女中,6,0,19,21,19,21,0.66,花蓮市區,308,1
北濱公園,花蓮電影城,9,0,22,30,22,30,3.45,花蓮市區,308,1
花蓮酒廠,煙波大飯店,2,0,3,17,3,17,8.03,花蓮市區,308,1
美侖大飯店,北濱公園,15,0,7,22,7,22,5.62,花蓮市區,308,1
海岸中興路口,煙波大飯店,2,0,10,17,10,17,2.13,花蓮市區,308,1
中美永興路口,花蓮轉運站,7,0,14,31,14,31,7,花蓮市區,308,1
中美永興路口,東大門夜市,21,0,14,24,14,24,3.84,花蓮市區,308,1
七星潭,家扶中心,3,0,1,12,1,12,8.01,花蓮市區,308,1
中美永興路口,大同市場,19,0,14,26,14,26,4.98,花蓮市區,308,1
中美中興路口,花蓮女中,8,0,13,21,13,21,2.94,花蓮市區,308,1
花蓮酒廠,北濱公園,4,0,3,22,3,22,9.87,花蓮市區,308,1
東大門夜市,郵政總局,22,0,24,27,24,27,1.54,花蓮市區,308,1
家扶中心,花蓮女中,1,0,12,21,12,21,3.18,花蓮市區,308,1
美侖大飯店,花蓮電影城,3,0,7,30,7,30,9.07,花蓮市區,308,1
東大門夜市,台灣企銀,13,0,24,25,24,25,0.77,花蓮市區,308,1
花蓮女中,北濱街,3,0,21,23,21,23,0.73,花蓮市區,308,1
台泥花蓮廠,大同市場,3,0,4,26,4,26,10.77,花蓮市區,308,1
台灣企銀,大同市場,5,0,25,26,25,26,0.37,花蓮市區,308,1
美崙田徑場,花蓮轉運站,5,0,18,31,18,31,5.3,花蓮市區,308,1
北濱街,台灣企銀,4,0,23,25,23,25,1.16,花蓮市區,308,1
花蓮酒廠,海岸中興路口,1,0,3,10,3,10,5.9,花蓮市區,308,1
家扶中心,東大門夜市,5,0,12,24,12,24,4.3,花蓮市區,308,1
民意社區,東大門夜市,15,0,5,24,5,24,8.33,花蓮市區,308,1
麗軒國際飯店,門諾醫院,2,0,15,16,15,16,0.42,花蓮市區,308,1
美崙浸信會,中美中興路口,1,0,8,13,8,13,1.5,花蓮市區,308,1
福容大飯店,北濱公園,5,0,9,22,9,22,4.28,花蓮市區,308,1
花蓮曼波園區(海岸路),民意社區,5,0,2,5,2,5,3.08,花蓮市區,308,1
中美永興路口,北濱街,2,0,14,23,14,23,3.45,花蓮市區,308,1
市老人會,花蓮女中,1,0,11,21,11,21,3.45,花蓮市區,308,1
家扶中心,中美永興路口,1,0,12,14,12,14,0.46,花蓮市區,308,1
郵政總局,花蓮商校,3,0,27,28,27,28,0.33,花蓮市區,308,1
北濱公園,東大門夜市,2,0,22,24,22,24,0.84,花蓮市區,308,1
美侖大飯店,花蓮女中,13,0,7,21,7,21,5.34,花蓮市區,308,1
美侖大飯店,福容大飯店,6,0,7,9,7,9,1.34,花蓮市區,308,1
七星潭,美崙田徑場,2,0,1,18,1,18,10.18,花蓮市區,308,1
七星潭,麗軒國際飯店,5,0,1,15,1,15,8.66,花蓮市區,308,1
花蓮酒廠,大同市場,4,0,3,26,3,26,11.85,花蓮市區,308,1
海岸中興路口,東大門夜市,33,0,10,24,10,24,4.8,花蓮市區,308,1
花蓮酒廠,花蓮電影城,5,0,3,30,3,30,13.32,花蓮市區,308,1
商校街,花蓮轉運站,3,0,29,31,29,31,0.84,花蓮市區,308,1
美崙田徑場,花蓮電影城,1,0,18,30,18,30,4.74,花蓮市區,308,1
美崙田徑場,大同市場,2,0,18,26,18,26,3.27,花蓮市區,308,1
花蓮曼波園區(海岸路),璽賓行旅,6,0,2,19,2,19,9.64,花蓮市區,308,1
美侖大飯店,美崙浸信會,1,0,7,8,7,8,0.9,花蓮市區,308,1
花蓮酒廠,麗軒國際飯店,1,0,3,15,3,15,7.06,花蓮市區,308,1
中油辦公大樓,美崙田徑場,2,0,6,18,6,18,5.73,花蓮市區,308,1
美崙浸信會,福容大飯店,1,0,8,9,8,9,0.44,花蓮市區,308,1
海岸中興路口,黎明教養院,1,0,10,20,10,20,3.12,花蓮市區,308,1
美侖大飯店,中美永興路口,3,0,7,14,7,14,2.62,花蓮市區,308,1
中美中興路口,麗軒國際飯店,1,0,13,15,13,15,0.41,花蓮市區,308,1
花蓮曼波園區(海岸路),中美中興路口,4,0,2,13,2,13,7.36,花蓮市區,308,1
中美永興路口,台灣企銀,21,0,14,25,14,25,4.61,花蓮市區,308,1
民意社區,北濱街,11,0,5,23,5,23,7.95,花蓮市區,308,1
花蓮酒廠,花蓮酒廠,17,0,3,3,3,3,0,花蓮市區,308,1
花蓮商校,花蓮電影城,2,0,28,30,28,30,0.74,花蓮市區,308,1
七星潭,中美永興路口,4,0,1,14,1,14,8.47,花蓮市區,308,1
民意社區,福容大飯店,1,0,5,9,5,9,3.22,花蓮市區,308,1
中美永興路口,花蓮商校,13,0,14,28,14,28,5.71,花蓮市區,308,1
花蓮酒廠,黎明教養院,2,0,3,20,3,20,9.03,花蓮市區,308,1
北濱街,北濱街,2,0,23,23,23,23,0,花蓮市區,308,1
中美永興路口,郵政總局,6,0,14,27,14,27,5.37,花蓮市區,308,1
台泥花蓮廠,花蓮女中,1,0,4,21,4,21,8.52,花蓮市區,308,1
璽賓行旅,商校街,7,0,19,29,19,29,4.1,花蓮市區,308,1
家扶中心,煙波大飯店,2,0,12,17,12,17,1.62,花蓮市區,308,1
花蓮酒廠,中美永興路口,2,0,3,14,3,14,6.87,花蓮市區,308,1
花蓮酒廠,福容大飯店,2,0,3,9,3,9,5.59,花蓮市區,308,1
福容大飯店,花蓮女中,1,0,9,21,9,21,4,花蓮市區,308,1
北濱街,郵政總局,2,0,23,27,23,27,1.92,花蓮市區,308,1
郵政總局,郵政總局,1,0,27,27,27,27,0,花蓮市區,308,1
福容大飯店,黎明教養院,2,0,9,20,9,20,3.43,花蓮市區,308,1
花蓮曼波園區(海岸路),海岸中興路口,3,0,2,10,2,10,6.61,花蓮市區,308,1
中美中興路口,商校街,1,0,13,29,13,29,6.38,花蓮市區,308,1
七星潭,市老人會,3,0,1,11,1,11,7.74,花蓮市區,308,1
煙波大飯店,黎明教養院,2,0,17,20,17,20,0.99,花蓮市區,308,1
美崙浸信會,商校街,1,0,8,29,8,29,7.87,花蓮市區,308,1
美侖大飯店,璽賓行旅,2,0,7,19,7,19,4.68,花蓮市區,308,1
大同市場,花蓮電影城,6,0,26,30,26,30,1.47,花蓮市區,308,1
海岸中興路口,花蓮女中,2,0,10,21,10,21,3.69,花蓮市區,308,1
花蓮商校,商校街,1,0,28,29,28,29,0.45,花蓮市區,308,1
麗軒國際飯店,花蓮女中,3,0,15,21,15,21,2.53,花蓮市區,308,1
中美永興路口,璽賓行旅,3,0,14,19,14,19,2.06,花蓮市區,308,1
美崙浸信會,北濱公園,1,0,8,22,8,22,4.71,花蓮市區,308,1
中油辦公大樓,中美永興路口,1,0,6,14,6,14,4.03,花蓮市區,308,1
美侖大飯店,美侖大飯店,1,0,7,7,7,7,0,花蓮市區,308,1
大同市場,大同市場,1,0,26,26,26,26,0,花蓮市區,308,1
中油辦公大樓,商校街,1,0,6,29,6,29,10.19,花蓮市區,308,1
中美永興路口,黎明教養院,1,0,14,20,14,20,2.15,花蓮市區,308,1
東方大鎮,康樂國小,509,509,6,3,6,3,2.42,臺東市區,陸海空線C,0
卑南入口,陽明山莊,308,308,10,2,10,2,6.02,臺東市區,陸海空線C,0
馬蘭榮家,康樂國小,302,302,9,3,9,3,4.41,臺東市區,陸海空線C,0
卑南入口,康樂國小,205,205,10,3,10,3,5.33,臺東市區,陸海空線C,0
東方大鎮,專科學校,156,156,6,4,6,4,1.8,臺東市區,陸海空線C,0
台東糖廠,康樂國小,102,102,7,3,7,3,2.87,臺東市區,陸海空線C,0
馬蘭榮家,專科學校,79,79,9,4,9,4,3.79,臺東市區,陸海空線C,0
公東高工,康樂國小,35,35,8,3,8,3,3.66,臺東市區,陸海空線C,0
東方大鎮,陽明山莊,31,31,6,2,6,2,3.12,臺東市區,陸海空線C,0
台東糖廠,專科學校,17,17,7,4,7,4,2.25,臺東市區,陸海空線C,0
專科學校,台東航空站,10,10,4,1,4,1,2.04,臺東市區,陸海空線C,0
卑南入口,專科學校,7,7,10,4,10,4,4.71,臺東市區,陸海空線C,0
東方大鎮,台東航空站,6,6,6,1,6,1,3.84,臺東市區,陸海空線C,0
公東高工,台東糖廠,5,5,8,7,8,7,0.79,臺東市區,陸海空線C,0
馬蘭榮家,台東航空站,4,4,9,1,9,1,5.83,臺東市區,陸海空線C,0
卑南入口,台東航空站,4,4,10,1,10,1,6.75,臺東市區,陸海空線C,0
專科學校,陽明山莊,3,3,4,2,4,2,1.31,臺東市區,陸海空線C,0
卑南入口,公東高工,3,3,10,8,10,8,1.66,臺東市區,陸海空線C,0
專科學校,康樂國小,2,2,4,3,4,3,0.62,臺東市區,陸海空線C,0
東方大鎮,縣議會,2,2,6,5,6,5,0.5,臺東市區,陸海空線C,0
台東糖廠,縣議會,2,2,7,5,7,5,0.95,臺東市區,陸海空線C,0
康樂國小,台東航空站,2,2,3,1,3,1,1.42,臺東市區,陸海空線C,0
公東高工,專科學校,2,2,8,4,8,4,3.05,臺東市區,陸海空線C,0
拖吊場,康樂國小,2,2,12,3,12,3,6.99,臺東市區,陸海空線C,0
台東糖廠,陽明山莊,1,1,7,2,7,2,3.57,臺東市區,陸海空線C,0
縣議會,台東航空站,1,1,5,1,5,1,3.34,臺東市區,陸海空線C,0
馬蘭榮家,陽明山莊,1,1,9,2,9,2,5.1,臺東市區,陸海空線C,0
台東糖廠,東方大鎮,1,1,7,6,7,6,0.45,臺東市區,陸海空線C,0
公東高工,台東航空站,1,1,8,1,8,1,5.09,臺東市區,陸海空線C,0
拖吊場,東方大鎮,1,1,12,6,12,6,4.57,臺東市區,陸海空線C,0
康樂國小,台東火車站,35,0,3,13,3,13,7.31,臺東市區,陸海空線C,0
陽明山莊,陽明山莊,4830,0,2,2,2,2,0,臺東市區,陸海空線C,0
康樂國小,公東高工,12,0,3,8,3,8,3.66,臺東市區,陸海空線C,0
台東航空站,台東火車站,36,0,1,13,1,1,8.73,臺東市區,陸海空線C,0
康樂國小,馬蘭榮家,73,0,3,9,3,9,4.41,臺東市區,陸海空線C,0
康樂國小,卑南入口,40,0,3,10,3,10,5.33,臺東市區,陸海空線C,0
康樂國小,台東糖廠,265,0,3,7,3,7,2.87,臺東市區,陸海空線C,0
台東糖廠,台東火車站,1,0,7,13,7,13,4.44,臺東市區,陸海空線C,0
卑南入口,台東火車站,6,0,10,13,10,13,1.98,臺東市區,陸海空線C,0
公東高工,台東火車站,1,0,8,13,8,13,3.65,臺東市區,陸海空線C,0
台東航空站,公東高工,12,0,1,8,1,8,5.09,臺東市區,陸海空線C,0
康樂國小,棒球場,52,0,3,11,3,11,6.4,臺東市區,陸海空線C,0
台東航空站,台東糖廠,3,0,1,7,1,7,4.29,臺東市區,陸海空線C,0
陽明山莊,馬蘭榮家,1,0,2,9,2,9,5.1,臺東市區,陸海空線C,0
台東航空站,馬蘭榮家,2,0,1,9,1,9,5.83,臺東市區,陸海空線C,0
縣議會,馬蘭榮家,1,0,5,9,5,9,2.49,臺東市區,陸海空線C,0
台東糖廠,棒球場,1,0,7,11,7,11,3.53,臺東市區,陸海空線C,0
陽明山莊,台東糖廠,11,0,2,7,2,7,3.57,臺東市區,陸海空線C,0
台東糖廠,公東高工,3,0,7,8,7,8,0.79,臺東市區,陸海空線C,0
陽明山莊,公東高工,4,0,2,8,2,8,4.36,臺東市區,陸海空線C,0
康樂國小,縣議會,7,0,3,5,3,5,1.92,臺東市區,陸海空線C,0
台東航空站,棒球場,2,0,1,11,1,11,7.82,臺東市區,陸海空線C,0
縣議會,公東高工,5,0,5,8,5,8,1.75,臺東市區,陸海空線C,0
台東糖廠,馬蘭榮家,1,0,7,9,7,9,1.54,臺東市區,陸海空線C,0
台東航空站,卑南入口,1,0,1,10,1,10,6.75,臺東市區,陸海空線C,0
專科學校,卑南入口,1,0,4,10,4,10,4.71,臺東市區,陸海空線C,0
卑南入口,棒球場,1,0,10,11,10,11,1.07,臺東市區,陸海空線C,0
台東航空站,陽明山莊,16,0,1,2,1,2,0.73,臺東市區,陸海空線C,0
專科學校,專科學校,1,0,4,4,4,4,0,臺東市區,陸海空線C,0
陽明山莊,康樂國小,206,0,2,3,2,3,0.7,臺東市區,陸海空線C,0
陽明山莊,卑南入口,1,0,2,10,2,10,6.02,臺東市區,陸海空線C,0
台東航空站,台東航空站,2,0,1,1,1,1,0,臺東市區,陸海空線C,0
陽明山莊,台東火車站,1,0,2,13,2,1,8.01,臺東市區,陸海空線C,0
