資料集,月份,圖片標示,里程_A,里程_B,里程_C,里程_D,里程_D2,里程_E,人次_A,人次_B,人次_C,人次_D,人次_D2,人次_E
花蓮市區,113/11,14.2,14.19,14.19,15.54,15.54,15.25,15.19,33665,33665,34726,34726,34726,34939
花蓮市區,113/12,15.1,15.06,15.06,16.54,16.54,16.17,16.15,37517,37517,38867,38867,38867,38965
花蓮市區,114/01,12.6,12.58,12.58,13.47,13.47,13.27,13.26,20743,20743,21266,21266,21266,21296
花蓮市區,114/02,12.8,12.81,12.81,13.71,13.71,13.53,13.52,21366,21366,21788,21788,21788,21811
花蓮市區,114/03,12.7,12.72,12.72,13.41,13.41,13.25,13.22,28320,28320,28781,28781,28781,28899
花蓮市區,114/04,12.8,12.78,12.78,13.46,13.46,13.28,13.22,28307,28307,28758,28758,28758,28999
花蓮市區,114/05,12.1,12.06,12.06,12.03,12.03,12.02,11.97,27434,27434,27522,27522,27522,27762
花蓮市區,114/06,12.7,12.74,12.74,13.65,13.65,13.43,13.37,25279,25279,25776,25776,25776,26039
花蓮市區,114/07,12,11.96,11.96,12.8,12.8,12.62,12.6,19831,19831,20235,20235,20235,20312
花蓮市區,114/08,12.5,12.51,12.51,13.49,13.49,13.24,13.2,20612,20612,21141,21141,21141,21256
花蓮市區,114/09,12.8,12.77,12.77,13.52,13.52,13.33,13.3,29659,29659,30177,30177,30177,30293
花蓮市區,114/10,12.6,12.61,12.61,13.28,13.28,13.12,13.1,30225,30225,30677,30677,30677,30787
花蓮市區,114/11,11.4,11.44,11.44,11.75,11.75,11.77,11.72,25590,25590,25930,25930,25930,26222
花蓮市區,114/12,11.5,11.5,11.5,11.79,11.79,11.78,11.73,28534,28534,28890,28890,28890,29145
花蓮市區,115/01,10.8,10.81,10.81,11.01,11.01,11.01,11,21038,21038,21217,21217,21217,21223
花蓮市區,115/02,11.1,11.13,11.13,11.2,11.2,11.2,11.2,18488,18488,18642,18642,18642,18645
花蓮市區,115/03,11.7,11.67,11.67,11.65,11.65,11.64,11.64,28160,28160,28760,28760,28760,28760
