月份,花蓮公路,臺東公路
113/06,16.7,27.2
113/07,13.4,20.6
113/08,12.8,19.2
113/09,19.5,31.6
113/10,18.7,32.8
113/11,17.5,31.8
113/12,18.1,34.5
114/01,15.8,31
114/02,17.9,31.9
114/03,20.7,37.2
114/04,19.4,35.9
114/05,20.6,37.4
114/06,19.3,34.9
114/07,15.9,25.8
114/08,13.1,22.5
114/09,20.9,39.5
114/10,20.7,37.2
114/11,22.4,29.3
114/12,22.3,39.1
115/01,20.9,37.4
115/02,13.3,26.2
115/03,22.3,40.5
115/04,20.7,39.6
115/05,21,40.4
115/06,20,39.9
